permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,stack_height,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
Air Title V Facility,1282001727,COVANTA HEMPSTEAD COMPANY,HEMPSTEAD RESOURCE RECOVERY FACILITY,600 MERCHANTS CONCOURSE,WESTBURY,11590,"ALFRED TARSITANO, SCOTT WHEELER",,,Cb,U-UNITS,"FABRIC FILTER, SPRAY TOWER",382,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1282001873,JOCAR ASPHALT LLC,RASON ASPHALT FACILITY,4 JOHNSON RD,NORTH LAWRENCE,11559,NASSAU ASPHALT SUPPLY CORPORATION,,,I,"D-00003, G-00004",FABRIC FILTER,"12, 31","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, VOC",,,,,,,,
Air State Facility,1282002479,OCEANSIDE BIOGAS LLC,OCEANSIDE LANDFILL GAS RECOVERY FAC,LONG BEACH RD & MOTT AVE,OCEANSIDE,11572,GEORGE R JANSEN,,,,"U-ET004, U-ET006",,14,OXIDES OF NITROGEN,,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1282004508,EQUUS POWER 1 LP,EQUUS FREEPORT POWER GENERATING STATION,289 BUFFALO AVE,FREEPORT,11520,KENNETH FORD,,,"A, GG",U-00001,"CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR), WATER INJECTION",187,"AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,1282200111,FORMED PLASTICS INC,FORMED PLASTICS,207 STONEHINGE LN,CARLE PLACE,11514,PATRICK K. LONG,,,,"R-00001, T-00001","FABRIC FILTER, MAT OR PANEL FILTER","11, 16, 19, 20","DICHLOROMETHANE, HAP, HEXANE, PROPENENITRILE, TOLUENE, VOC",,,,,,,,
Air Title V Facility,1282200481,NATIONAL GRID GENERATION LLC,GLENWOOD COMBUSTION TURBINE FACILITY,SHORE RD,GLENWOOD LANDING,11547,PAUL A LYNCH,,,,"U-00020, U-00021",,59,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1282200573,U S MERCHANT MARINE ACADEMY,UNITED STATES MERCHANT MARINE ACADEMY,300 STEAMBOAT ROAD,KINGS POINT,11024,CAPT. JOHN JOCHMANS,,,Dc,"1-00BLR, 1-BOATS",,"155, 40","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1282201225,TRIUMPH STRUCTURES - LONG ISLAND LLC,AIRCRAFT PROTECTIVE SYSTEMS A DIV OF TRIUMPH STRUCTURES,LI LLC,88 URBAN AVE,,"LEONARD GROSS, MARGARET A KLIEBER-SCHRECK",,"A, A, A, N",,"1-PAINT, 2-ANODZ","CHEMICAL FUME SUPPRESSANT - WETTING, MAT OR PANEL FILTER","18, 19, 22","CHROMIUM, PARTICULATES, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,1282400112,NORTHROP GRUMMAN CORPORATION,GRUMMAN AEROSPACE MFG PLANT,S OYSTER BAY RD,BETHPAGE,11714,LARRY LESKOVJAN,,,,"1-00VAC, 1-PRSRV, E-I0001",,,"OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1282400388,GLOBAL COMPANIES LLC,GLOBAL COMPANIES LLC - GLENWOOD TERMINAL,SHORE & GLENWOOD RDS,GLENWOOD LANDING,11547,HANK M MEYERHOEFER,,BBBBBB,"A, Kb, XX","1-RACK1, 1-TANKS","VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","26, 40","1, 1 BIPHENYL, 1,3 DIMETHYL BENZENE, 2-METHYL-PHENOL, BENZENE, BENZENE, (1-METHYLETHYL), ETHYLBENZENE, HAP, HEXANE, METHYL TERTBUTYL ETHER, NAPHTHALENE, PENTANE, 2,2,4-TRIMETHYL-, PHENOL, TOLUENE, VOC",,,,,,,,
Air Title V Facility,1282400455,GLOBAL COMPANIES LLC,GLOBAL COMPANIES - COMMANDER TERMINAL,1 COMMANDER SQ,OYSTER BAY,11771,ANTHONY CASSANDRO,,"BBBBBB, R","A, K, Kb","1-MISCP, 1-RACKS, 1-TANKS","FLOATING ROOF, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","10, 11, 28, 29, 35, 5, 50","HAP, VOC",,,,,,,,
Air State Facility,1282400490,KEYSPAN ENERGY CORP,GLENWOOD BLACK START GT FACILITY,SHORE RD,GLENWOOD LANDING,11547,PAUL A LYNCH,,,,"U-GT011, U-GTS11",,"20, 38","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1282400947,BETHPAGE ENERGY CENTER 3 LLC,TBG COGEN FACILITY,939 S BROADWAY,HICKSVILLE,11801,JULIE A STINEDURF,,,"A, Db, GG","U-00001, U-00002, U-00003",SELECTIVE CATALYTIC REDUCTION (SCR),"100, 80","AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1282400947,BETHPAGE ENERGY CENTER 3 LLC,TBG COGEN FACILITY,939 SOUTH BROADWAY,HICKSVILLE,11801,"DONALD NEAL, FORD",,,"A, GG",U-00001,"CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR)",100,"AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PM-10",,,,,,,,
Air State Facility,1282401747,STATE UNIVERSITY OF NEW YORK,SUNY OLD WESTBURY,223 STORE HILL RD,OLD WESTBURY,11568,WILLIAM A KIMMINS,,,Dc,"U-00001, U-00002, U-00003",,"10, 40","PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1282402055,LONG ISLAND UNIVERSITY,C W POST CAMPUS OF L I UNIVERSITY,720 NORTHERN BLVD,GREENVALE,11548,WILLIAM KIRKER,,,,U-00101,,50,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1282402146,NATIONAL GRID GLENWOOD ENERGY CENTER LLC,GLENWOOD LANDING ENERGY CENTER,SHORE RD,GLENWOOD LANDING,11547,ROBERT D TEETZ,,,"A, GG",U-CT001,"SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION",125,"AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, Electrical Output, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472000342,THE SOUNDCOAT COMPANY INC,SOUNDCOAT CO,1 BURT DR,DEER PARK,11729,"JILL ROSENBLATT, SANDY NENNINGER",,,,"U-00001, U-00002, U-00003, U-00004",CATALYTIC OXIDATION,"27, 30, 39","HAP, VOC",,,,,,,,
Air State Facility,1472000343,THE LONG ISLAND HOME,THE LONG ISLAND HOME,400 SUNRISE HWY,AMITYVILLE,11701,ROBERT CHESTER,,,,"U-00001, U-00002",,"40, 53","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472000355,SUFFOLK COUNTY,BERGEN POINT STP & BERGEN AVE. DOCK,600 BERGEN AVE,W BABYLON,11704,SOUTHWEST SEWER DISTRICT #3,,,O,"U-00001, U-00002, U-00003, U-00004","CATALYTIC AFTERBURNER, CENTRIFUGAL, GAS SCRUBBER (GENERAL, NOT CLASSIFIED), IMPINGEMENT PLATE SCRUBBER, SPRAY TOWER","1, 12, 22, 24, 26, 27, 4, 6, 71, 75, 76","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472000508,AIRCRAFT FINISHING CORP,AIRCRAFT FINISHING CORP,612 RUTGERS RD,NORTH BABYLON,11703,SAMUEL SERIGANO,,"N, T",,"1-PAINT, 2-ACPLT",MAT OR PANEL FILTER,"24, 25","CHROMIUM, CYANIDE, HAP, PARTICULATES, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,1472000545,PET CREMATORY AGENCY INC,PET CREMATORY AGENCY,164 CABOT STREET,WEST BABYLON,11704,JAMES KATSIKIS,,,,"U-00001, U-00002, U-00003",,34,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,1472000571,AMERICAN ACRYLIC CORP,AMERICAN ACRYLIC CORPORATION,400 SHEFFIELD AVE,WEST BABYLON,11704,TOM ZIEGLER,,,,1-RESIN,,21,"HAP, METHYL ACRYLIC ACIDMETHYL ESTER, VOC",,,,,,,,
Air State Facility,1472000585,STERICYCLE INC,BIO SYSTEMS PARTNERS PROPERTY,210 SHERWOOD AVE,FARMINGDALE,11735,WILLIAM SWEENEY,,,,,,,,,,,,,,,
Air Title V Facility,1472000777,COVANTA BABYLON INC,BABYLON RESOURCE RECOVERY FACILITY,125 GLEAM ST,WEST BABYLON,11704,"ALFRED TARSITANO, MARK O'BRIEN",,,Cb,"1-MBMWC, 2-MBMWC","ACTIVATED CARBON INJECTION, DRY SPRAY ABSORPTION, FABRIC FILTER, SELECTIVE NON-CATALYTIC REDUCTION",170,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472000911,ADVANCED COATING TECHNIQUES INC,ADVANCED COATING TECHNIQUES INC,313 WYANDANCH AVE,NORTH BABYLON,11703,"ANTONIO GAITAN, WILLIAM R STRONG",,N,,"1-PAINT, 2-0ACID, 3-PLATE",,"18, 19, 20, 21","CHROMIUM, CYANIDE, PARTICULATES, SULFURIC ACID, VOC",,,,,,,,
Air Title V Facility,1472001046,NATIONAL GRID GENERATION LLC,WEST BABYLON GT FACILITY,RAILROAD AVE,WEST BABYLON,11704,PAUL A LYNCH,,,,U-GT001,,46,"CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472001147,WALNUT PACKAGING INC,WALNUT PACKAGING PROPERTY,450 SMITH ST,EAST FARMINGDALE,11735,JOSE ALVARADO,,KK,,0-00001,,26,"HAP, VOC",,,,,,,,
Air State Facility,1472001321,STATE UNIVERSITY OF NEW YORK,SUNY FARMINGDALE,ST RTE 110 - 2350 BROADHOLLOW RD,FARMINGDALE,11735,WILLIAM OCONNOR,,,"A, Dc",0-00001,,"44, 63","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472001919,LAWRENCE RIPAK CO INC,LAWRENCE RIPAK FACILITY,165 FIELD ST,WEST BABYLON,11704,GALLI ENGINEERING PC,,"A, A, A, N, T, T, T, T",,"1-PAINT, 2-000VD, 3-CADPL, 4-0ACID, 5-PLNT2",MAT OR PANEL FILTER,"24, 25, 30, 31","CHROMIUM, HAP, PARTICULATES, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,1472002934,CLEAR FLO TECHNOLOGIES INC,CLEAR FLO TECHNOLOGIES/CLEAN & GREEN RECYCLING INC,1110 A ST RTE 109,NORTH LINDENHURST,11757,STEVEN MACCHIO,,ZZZZ,,1-CGKDS,,"21, 35",OXIDES OF NITROGEN,,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472003061,PINELAWN POWER LLC,PINELAWN POWER,380 PATTON AVE|NEXT TO BABYLON RESOURCE RECOVERY,WEST BABYLON,11704,"CHRIS GOODPASTURE, KENNETH FORD",,,"A, Db, GG",U-00001,"CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION",145,"AMMONIA, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1472003670,OVERNIGHT LABELS INC,OVERNIGHT LABELS INC,151-15 W INDUSTRY CT,DEER PARK,11729,DONALD EARL,,,,U-00001,,23,VOC,,,,,,,,
Air Title V Facility,1472200030,TOWN OF BROOKHAVEN,BROOKHAVEN LANDFILL & RECYCLING AREA,350 HORSEBLOCK RD,YAPHANK,11980,PAUL M ROTH,,,,"0-0CD56, 0-MSW14, E-FLARE, P-FLARE, W-DCHPR",FLARING,"45, 50, 8, 9","CARBON MONOXIDE, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN, PARTICULATES, PM 2.5, PM-10",,,,,,,,
Air Title V Facility,1472200032,U S DEPT OF ENERGY,BROOKHAVEN NATIONAL LABORATORY,53 BELL AVE,UPTON,11973,GERALD GRANZEN,,,"Db, TT","U-61005, U-61006, U-61007, U-COILS, U-FUELS, U-GENER, U-HALON, U-INSIG, U-METAL, U-MVACS, U-PAINT, U-RFRIG, U-SMBLR","FABRIC FILTER, PROCESS GAS RECOVERY, VAPOR LOCK BALANCE RECOVERY SYSTEM, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","110, 13, 15, 21, 24, 25, 26, 27, 31, 33, 35, 4, 45, 5, 59, 62, 8, 9","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,1472200105,NATIONAL GRID GENERATION LLC,HOLTSVILLE GT & LNG FACILITY,180-A MORRIS AVE,HOLTSVILLE,11742,"PAUL A LYNCH, ROBERT D TEETZ",,,,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007, U-00008, U-00009, U-00010, U-00011, U-00012, U-00013, U-00014, U-00015, U-00016, U-00017, U-00018, U-00019, U-00020",,44,"CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472200105,NATIONAL GRID GENERATION LLC,HOLTSVILLE GT & LNG FACILITY,180-A MORRIS AVE,HOLTSVILLE,11742,"PAUL A LYNCH, ROBERT D TEETZ",,,,"U-00021, U-00025, U-00026, U-00027",,"21, 75",,,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472200107,NATIONAL GRID GENERATION LLC,PORT JEFFERSON POWER STATION,BEACH ST,PORT JEFFERSON,11777,PAUL A LYNCH,,,,"U-00001, U-00002, U-00003, U-GT001, U-GT0S1",ELECTROSTATIC PRECIPITATOR,"20, 300, 38, 425","CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472200108,NATIONAL GRID GENERATION LLC,WADING RIVER GT FACILITY,NORTH COUNTRY RD,SHOREHAM,11786,PAUL A LYNCH,,,GG,"U-GT007, U-GT008, U-GT009, U-GT013, U-GT014",,"45, 70","CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
,1472200112,REGENCY FOREST PET MEMORIAL CEMETERY,THE REGENCY FOREST PET MEMORIAL CEMETERY,760 MIDDLE COUNTRY RD,MIDDLE ISLAND,11953,,,,,0-00001,,26,PARTICULATES,,,,,,,,
Air State Facility,1472200243,STATE UNIVERSITY OF NEW YORK,SUNY AT STONY BROOK,NICOLLS RD - WEST SIDE,STONY BROOK,11794,"CLIFFORD KNEE, STATE UNIVERSITY OF NEW YORK",,JJJJJJ,,"U-00001, U-00002, U-00004","CATALYTIC OXIDATION, GRAVITY COLLECTOR","252, 75, 90","ETHYLENE OXIDE, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472200263,U S INTERNAL REVENUE SERVICE,US INTERNAL REVENUE ADP CENTER,1040 WAVERLY AVE|SCTM# 200-891-2-9,HOLTSVILLE,11742,MICHAEL POLOCHAK,,,,U-BOILR,,114,"OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472200278,WILLIAM FLOYD UNION FREE SCH DIST,WILLIAM FLOYD JR SR HIGH SCH & FIELDHOUSE,240 MASTIC BEACH RD,MASTIC BEACH,11951,HERBERT HODGE,,,,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007, U-00008, U-00009",,"25, 65",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,1472200557,ST CHARLES HOSPITAL & REHAB CTR,ST CHARLES HOSPITAL,200 BELLE TERRE RD,PORT JEFFERSON,11777,MICHAEL INGOGLIA,,,,U-FAC01,,"25, 28, 32","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472200574,NORTHVILLE INDUSTRIES CORP,"HOLTSVILLE TERMINAL, NORTHVILLE IND CORP",586 UNION AVE,HOLTSVILLE,11742,"RICHARD MARASAK, THOMAS MAUS",,"R, ZZZZ","A, K, Kb, XX","U-00001, U-00002, U-00003, U-00004, U-00005, U-00006","ACTIVATED CARBON ADSORPTION, THERMAL OXIDATION","19, 45","40 CFR 60-63 - TOTAL ORGANIC COMPOUNDS (TOC), VOC",,,,,,,,
Air State Facility,1472200696,NORTHVILLE INDUSTRIES CORP,SETAUKET TERMINAL - NORTHVILLE IND CORP,19 BELLE MEADE RD,EAST SETAUKET,11733,THOMAS MAUS,,,,"U-00001, U-00002",,,VOC,,,,,,,,
Air Title V Facility,1472200799,WEHRAN ENERGY CORP,BROOKHAVEN LANDFILL GAS RECOVERY FACILITY,350 HORSEBLOCK RD,YAPHANK,11980,WEHRAN ENERGY CORP,,ZZZZ,,U-00001,,27,"NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472200926,NEW YORK POWER AUTHORITY,RICHARD M FLYNN POWER PLANT,607 UNION AVE,HOLTSVILLE,11742,KOLLI M RAO,,,"A, GG",U-00001,"DRY LOW NOx BURNER, STEAM OR WATER INJECTION",120,"CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,1472200967,GERSHOW RECYCLING CORP,GERSHOW RECYCLING CORP,71 PECONIC AVE,MEDFORD,11763,KEVIN G GERSHOWITZ,,,,"U-00001, U-00002","CATALYTIC REDUCTION, FABRIC FILTER, SINGLE CYCLONE","20, 23, 28, 40, 66",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,1472201183,SUNDIAL ASPHALT COMPANY INC,SUNDIAL ASPHALT COMPANY INC,56 COMSEWOGUE RD,E SETAUKET,11733,IRISH HALLIWELL,,,I,0-00001,FABRIC FILTER,30,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472202441,NISSEQUOGUE COGEN PARTNERS,NISSEQUOGUE COGEN PARTNERS PLANT,2099 SUNY@ STONY BROOK,STONY BROOK,11794,"GLEN STOCKHAUSEN, LISA PONGNON",,,"A, GG",1-00001,,218,"CARBON MONOXIDE, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472203465,LYDEL BROOKHAVEN ASPHALT CORPORATION,LYDEL BROOKHAVEN ASPHALT FACILITY,19B STIRIZ RD,BROOKHAVEN,11719,SCOTT KUBIK,,,I,"A-00001, A-00002",FABRIC FILTER,"15, 28",PARTICULATES,,,,,,,,
Air State Facility,1472204066,FRAMERICA CORP,FRAMERICA CORP,2 TODD CT,YAPHANK,11980,MURRAY TURNER,,,,"B-00001, B-00002, C-00001","FABRIC FILTER, INCINERATOR AFTERBURNER, SINGLE CYCLONE","15, 24, 33","CARBON MONOXIDE, FORMALDEHYDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472204133,"SHOREHAM ENERGY, LLC",SHOREHAM ENERGY LLC,227 N COUNTRY RD,SHOREHAM,11786,CHRIS GOODPASTURE,,,"A, GG",U-00001,SELECTIVE CATALYTIC REDUCTION (SCR),110,"AMMONIA, Electrical Output, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472204141,NATIONAL GRID PORT JEFFERSON ENERGY CENTER LLC,PORT JEFFERSON ENERGY CENTER,BEACH ST,PORT JEFFERSON,11777,ROBERT D TEETZ,,,"A, GG",U-GT002,"SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION",265,"AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, Electrical Output, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472204407,ALLEGHENY ENERGY SOLUTIONS INC,J KINGS FOOD SERVICE PROFESSIONALS GEN,700 FURROWS ROAD,HOLTSVILLE,11742,ALLEGHENY ENERGY SOLUTIONS INC,,,,E-00001,,32,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
"Air State Facility, Air Title V Facility, Title IV (Phase II Acid Rain)",1472204426,CAITHNESS LONG ISLAND LLC,CAITHNESS LONG ISLAND ENERGY CENTER,50 ZORN BLVD,SOUTH YAPHANK,11980,"GARY KEEVILL, THOMAS A GRACE",,,A,"U-00001, U-00002, U-00003, U00001","CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR)","170, 18, 7","AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,1472204474,SKYLINE LLC,SKYLINE LLC,COMSEWOGUE RD,EAST SETAUKET,11733,"DANIEL HALLIWELL, FRANK SCHAMBRA",,,,0-00001,,14,SULFUR DIOXIDE,,,,,,,,
Air State Facility,1472204513,MOUNT PLEASANT CEMETERY & CREMATORY,MOUNT PLEASANT CEMETERY & CREMATORY,1 OLD CEMETERY RD|SCTM 0200-830-02-28.1,CENTER MORICHES,11934,STEPHEN SCERRI,,,,1-PHII1,,16,PARTICULATES,,,,,,,,
Air Title V Facility,1472400345,NATIONAL GRID GENERATION LLC,EAST HAMPTON GT FACILITY,BUELL LN WEST OF COVE HOLLOW LN,EAST HAMPTON,11937,"PAUL A LYNCH, ROBERT D TEETZ",,,,"U-DG002, U-DG003, U-DG004, U-GT001",,"27, 39","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
